Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
matyas,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
rastrigin,PCO,[ 0.00036109 -0.00112257],0.0002758737447834392,0.6247634887695312,
rastrigin,GA,[1.01685687 1.00457862],2.1033512026253014,0.2888517379760742,
rastrigin,PSO,[ 3.21585243e-09 -1.49213179e-09],0.0,0.04150819778442383,
rastrigin,SA,[0.5 0.5],40.5,0.0027098655700683594,
rastrigin,GOA,[-0.01071798  1.06410504],1.9553677819185893,1.5996155738830566,
rastrigin,DA,[ 2.08630698 -0.83780319],11.24804387684474,0.3498969078063965,
rastrigin,SSA,[2.62804682e-09 2.55835435e-08],1.2789769243681803e-13,0.0728447437286377,
rastrigin,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
rastrigin,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
schaffer_function,PCO,[ 0.00590229 -0.00226243],3.9994984255276034e-05,0.5546653270721436,
schaffer_function,GA,[1.38176669 2.79222062],0.010238575803461325,0.2344069480895996,
schaffer_function,PSO,[1.39108599e-05 5.65511607e-06],2.2571794433545733e-10,0.01782822608947754,
schaffer_function,SA,[0.5 0.5],0.4221060660247715,0.0017733573913574219,
schaffer_function,GOA,[-3.13565032 -0.12768768],0.00971596444344519,1.5681915283203125,
schaffer_function,DA,[1.57737079 2.66298378],0.011563803173044784,0.33855199813842773,
schaffer_function,SSA,[ 2.98469417e-08 -7.86708504e-08],7.105427357601002e-15,0.04734683036804199,
schaffer_function,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
schaffer_function,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
schwefel,PCO,[5.24093965 5.2447003 ],830.0751971396935,0.565619945526123,
schwefel,GA,[5.36606822 5.32956835],830.0800944257522,0.2597043514251709,
schwefel,PSO,[5. 5.],830.0983086845278,0.030249595642089844,
schwefel,SA,[7.11843036 3.93358711],831.1158306994646,0.0024871826171875,
schwefel,GOA,[3.05662366 4.95085424],831.028704469258,1.5975515842437744,
schwefel,DA,[5. 5.],830.0983086845278,0.3652639389038086,
schwefel,SSA,[5. 5.],830.0983086845278,0.0645294189453125,
schwefel,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
schwefel,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
shekel,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shubert,PCO,[-0.80380948 -8.04911717],-186.73087602901896,0.6153202056884766,
shubert,GA,N/A,N/A,N/A,probabilities are not non-negative
shubert,PSO,[-0.8003211  -1.42512843],-186.7309088310239,0.054415225982666016,
shubert,SA,[0.5 0.5],3.0303034466027676,0.0034122467041015625,
shubert,GOA,[-1.42801382 -0.80288563],-186.69698487318206,1.6418061256408691,
shubert,DA,[ 5.         -0.95572651],-101.43289878425556,0.3749701976776123,
shubert,SSA,[-1.42512844 -0.80032112],-186.73090883102307,0.08089160919189453,
shubert,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
shubert,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
six_hump_camel_back,PCO,[ 0.09214851 -0.71655714],-1.0316246849944952,0.593428373336792,
six_hump_camel_back,GA,[0.62472663 0.64262284],0.692839842539562,0.22640609741210938,
six_hump_camel_back,PSO,[-0.08984201  0.7126564 ],-1.0316284534898774,0.013863801956176758,
six_hump_camel_back,SA,[0.5 0.5],0.3739583333333334,0.0015413761138916016,
six_hump_camel_back,GOA,[-0.21603856  0.77450087],-0.9452906691372016,1.592299461364746,
six_hump_camel_back,DA,[-0.24543654 -0.91706606],-0.07635788733403309,0.3301229476928711,
six_hump_camel_back,SSA,[ 0.08984195 -0.71265638],-1.0316284534898597,0.03944563865661621,
six_hump_camel_back,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
six_hump_camel_back,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
sphere,PCO,[-0.00250646 -0.00504457],3.950866252302283e-06,0.5514233112335205,
sphere,GA,[0.51339319 0.64262284],0.6765366790591093,0.2599983215332031,
sphere,PSO,[4.36582208e-12 1.12040018e-11],1.4459005905274733e-22,0.02454662322998047,
sphere,SA,[0.5 0.5],0.5,0.002527475357055664,
sphere,GOA,[0.1328836  0.21096069],0.06216246487084014,1.6030256748199463,
sphere,DA,[-0.24543654 -0.91706606],0.90124925664182,0.33611369132995605,
