Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
rastrigin,PCO,[ 0.00036109 -0.00112257],0.0002758737447834392,0.6142816543579102,
rastrigin,GA,[1.01685687 1.00457862],2.1033512026253014,0.28533315658569336,
rastrigin,PSO,[ 3.21585243e-09 -1.49213179e-09],0.0,0.04079461097717285,
rastrigin,SA,[0.5 0.5],40.5,0.002740621566772461,
rastrigin,GOA,[-0.01071798  1.06410504],1.9553677819185893,1.6545476913452148,
rastrigin,DA,[ 2.08630698 -0.83780319],11.24804387684474,0.37890625,
rastrigin,SSA,[2.62804682e-09 2.55835435e-08],1.2789769243681803e-13,0.07330846786499023,
rastrigin,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
rastrigin,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
schaffer_function,PCO,[ 0.00590229 -0.00226243],3.9994984255276034e-05,0.5788633823394775,
schaffer_function,GA,[1.38176669 2.79222062],0.010238575803461325,0.2599968910217285,
schaffer_function,PSO,[1.39108599e-05 5.65511607e-06],2.2571794433545733e-10,0.01923656463623047,
schaffer_function,SA,[0.5 0.5],0.4221060660247715,0.0019969940185546875,
schaffer_function,GOA,[-3.13565032 -0.12768768],0.00971596444344519,1.667393445968628,
schaffer_function,DA,[1.57737079 2.66298378],0.011563803173044784,0.36174750328063965,
schaffer_function,SSA,[ 2.98469417e-08 -7.86708504e-08],7.105427357601002e-15,0.04926300048828125,
schaffer_function,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
schaffer_function,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
schwefel,PCO,[5.24093965 5.2447003 ],830.0751971396935,0.5891122817993164,
schwefel,GA,[5.36606822 5.32956835],830.0800944257522,0.27971720695495605,
schwefel,PSO,[5. 5.],830.0983086845278,0.03104853630065918,
schwefel,SA,[7.11843036 3.93358711],831.1158306994646,0.002471446990966797,
schwefel,GOA,[3.05662366 4.95085424],831.028704469258,1.6651225090026855,
schwefel,DA,[5. 5.],830.0983086845278,0.36278843879699707,
schwefel,SSA,[5. 5.],830.0983086845278,0.06340551376342773,
schwefel,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
schwefel,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
shekel,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shekel,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (4,) "
shubert,PCO,[-0.80380948 -8.04911717],-186.73087602901896,0.6498198509216309,
shubert,GA,N/A,N/A,N/A,probabilities are not non-negative
shubert,PSO,[-0.8003211  -1.42512843],-186.7309088310239,0.059467315673828125,
shubert,SA,[0.5 0.5],3.0303034466027676,0.003202676773071289,
shubert,GOA,[-1.42801382 -0.80288563],-186.69698487318206,1.7001235485076904,
shubert,DA,[ 5.         -0.95572651],-101.43289878425556,0.38582563400268555,
shubert,SSA,[-1.42512844 -0.80032112],-186.73090883102307,0.10430383682250977,
shubert,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
shubert,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
six_hump_camel_back,PCO,[ 0.09214851 -0.71655714],-1.0316246849944952,0.5504910945892334,
six_hump_camel_back,GA,[0.62472663 0.64262284],0.692839842539562,0.23650074005126953,
six_hump_camel_back,PSO,[-0.08984201  0.7126564 ],-1.0316284534898774,0.013995647430419922,
six_hump_camel_back,SA,[0.5 0.5],0.3739583333333334,0.0016303062438964844,
six_hump_camel_back,GOA,[-0.21603856  0.77450087],-0.9452906691372016,1.602635383605957,
